estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,cantidad_museos,pobtot,habxm,habxm2,habxm3,museo_por,fecha_calculo
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,0,,3,13013,4338,0.043,23.054,0,04/06/2021
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,1,Cuatro Ciénegas de Carranza,3,10309,3436,0.034,29.101,0,04/06/2021
5,Coahuila de Zaragoza,9,Francisco I. Madero,0,,2,55676,27838,0.278,3.592,0,04/06/2021
5,Coahuila de Zaragoza,9,Francisco I. Madero,1,Francisco I. Madero (Chávez),2,26632,13316,0.133,7.51,0,04/06/2021
5,Coahuila de Zaragoza,11,General Cepeda,0,,2,11682,5841,0.058,17.12,0,04/06/2021
5,Coahuila de Zaragoza,11,General Cepeda,1,General Cepeda,1,4382,4382,0.044,22.821,0,04/06/2021
5,Coahuila de Zaragoza,11,General Cepeda,58,Rincón Colorado,1,145,145,0.001,689.655,0,04/06/2021
5,Coahuila de Zaragoza,15,Juárez,0,,1,1599,1599,0.016,62.539,0,04/06/2021
5,Coahuila de Zaragoza,15,Juárez,1,Juárez,1,890,890,0.009,112.36,0,04/06/2021
5,Coahuila de Zaragoza,17,Matamoros,0,,2,107160,53580,0.536,1.866,0,04/06/2021
5,Coahuila de Zaragoza,17,Matamoros,1,Matamoros,2,52233,26117,0.261,3.829,0,04/06/2021
5,Coahuila de Zaragoza,18,Monclova,0,,3,216206,72069,0.721,1.388,0,04/06/2021
5,Coahuila de Zaragoza,18,Monclova,1,Monclova,3,215271,71757,0.718,1.394,0,04/06/2021
5,Coahuila de Zaragoza,20,Múzquiz,0,,3,66834,22278,0.223,4.489,0,04/06/2021
5,Coahuila de Zaragoza,20,Múzquiz,1,Ciudad Melchor Múzquiz,3,35060,11687,0.117,8.557,0,04/06/2021
5,Coahuila de Zaragoza,21,Nadadores,0,,1,6335,6335,0.063,15.785,0,04/06/2021
5,Coahuila de Zaragoza,21,Nadadores,1,Nadadores,1,4343,4343,0.043,23.026,0,04/06/2021
5,Coahuila de Zaragoza,23,Ocampo,0,,1,10991,10991,0.11,9.098,0,04/06/2021
5,Coahuila de Zaragoza,23,Ocampo,1,Ocampo,1,3679,3679,0.037,27.181,0,04/06/2021
5,Coahuila de Zaragoza,24,Parras,0,,2,45401,22701,0.227,4.405,0,04/06/2021
5,Coahuila de Zaragoza,24,Parras,1,Parras de la Fuente,2,33817,16909,0.169,5.914,0,04/06/2021
5,Coahuila de Zaragoza,25,Piedras Negras,0,,2,152806,76403,0.764,1.309,0,04/06/2021
5,Coahuila de Zaragoza,25,Piedras Negras,1,Piedras Negras,2,150178,75089,0.751,1.332,0,04/06/2021
5,Coahuila de Zaragoza,28,Sabinas,0,,1,60847,60847,0.608,1.643,0,04/06/2021
5,Coahuila de Zaragoza,28,Sabinas,1,Sabinas,1,54905,54905,0.549,1.821,0,04/06/2021
5,Coahuila de Zaragoza,30,Saltillo,0,,24,725123,30213,0.302,3.31,0,04/06/2021
5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo,24,709671,29570,0.296,3.382,0,04/06/2021
5,Coahuila de Zaragoza,33,San Pedro,0,,1,102650,102650,1.027,0.974,0,04/06/2021
5,Coahuila de Zaragoza,33,San Pedro,1,San Pedro,1,48746,48746,0.487,2.051,0,04/06/2021
5,Coahuila de Zaragoza,35,Torreón,0,,12,639629,53302,0.533,1.876,0,04/06/2021
5,Coahuila de Zaragoza,35,Torreón,1,Torreón,12,608836,50736,0.507,1.971,0,04/06/2021
5,Coahuila de Zaragoza,36,Viesca,0,,1,21319,21319,0.213,4.691,0,04/06/2021
5,Coahuila de Zaragoza,36,Viesca,1,Viesca,1,3610,3610,0.036,27.701,0,04/06/2021
5,Coahuila de Zaragoza,37,Villa Unión,0,,1,6289,6289,0.063,15.901,0,04/06/2021
5,Coahuila de Zaragoza,37,Villa Unión,1,Villa Unión,1,5350,5350,0.054,18.692,0,04/06/2021
5,Coahuila de Zaragoza,38,Zaragoza,0,,1,12702,12702,0.127,7.873,0,04/06/2021
5,Coahuila de Zaragoza,38,Zaragoza,1,Zaragoza,1,10461,10461,0.105,9.559,0,04/06/2021
6,Colima,0,,0,,18,650555,36142,0.361,2.767,0,04/06/2021
6,Colima,1,Armería,0,,1,28695,28695,0.287,3.485,0,04/06/2021
6,Colima,1,Armería,1,Ciudad de Armería,1,15923,15923,0.159,6.28,0,04/06/2021
6,Colima,2,Colima,0,,7,146904,20986,0.21,4.765,0,04/06/2021
6,Colima,2,Colima,1,Colima,7,137383,19626,0.196,5.095,0,04/06/2021
6,Colima,3,Comala,0,,3,20888,6963,0.07,14.362,0,04/06/2021
6,Colima,3,Comala,1,Comala,2,9442,4721,0.047,21.182,0,04/06/2021
6,Colima,3,Comala,23,Nogueras,1,304,304,0.003,328.947,0,04/06/2021
6,Colima,4,Coquimatlán,0,,1,19385,19385,0.194,5.159,0,04/06/2021
6,Colima,4,Coquimatlán,1,Coquimatlán,1,13358,13358,0.134,7.486,0,04/06/2021
6,Colima,5,Cuauhtémoc,0,,2,27107,13554,0.136,7.378,0,04/06/2021
6,Colima,5,Cuauhtémoc,1,Cuauhtémoc,1,8602,8602,0.086,11.625,0,04/06/2021
